,location,size,total_sqft,bath,price
1682,Channasandra,3,1200.0,3.0,67.77
1683,Channasandra,2,1104.0,2.0,35.5
1684,Channasandra,2,1160.0,2.0,55.0
1685,Channasandra,2,1050.0,2.0,41.0
1686,Channasandra,2,1065.0,2.0,40.47
1688,Channasandra,2,1070.0,2.0,38.0
1689,Channasandra,2,1050.0,2.0,35.0
1690,Channasandra,2,1093.0,2.0,34.0
1691,Channasandra,2,808.0,2.0,40.0
1692,Channasandra,2,1010.0,2.0,36.0
1693,Channasandra,2,1123.0,2.0,36.0
1694,Channasandra,2,1000.0,2.0,35.0
1695,Channasandra,4,1500.0,4.0,89.45
1696,Channasandra,3,1330.0,2.0,51.83
1697,Channasandra,2,1093.0,2.0,37.0
1698,Channasandra,2,1115.0,2.0,35.8
1699,Channasandra,3,1500.0,3.0,61.95
1701,Channasandra,2,830.0,2.0,36.28
1702,Channasandra,3,1200.0,3.0,67.77
1703,Channasandra,3,1195.0,2.0,56.0
1704,Channasandra,2,1175.0,2.0,38.0
1705,Channasandra,2,1200.0,2.0,46.13
1706,Channasandra,2,1065.0,2.0,36.0
1707,Channasandra,2,1050.0,2.0,44.41
1708,Channasandra,2,1010.0,2.0,32.0
1709,Chikka Tirupathi,4,2600.0,5.0,120.0
1710,Chikka Tirupathi,4,2325.0,4.0,120.0
1711,Chikka Tirupathi,3,1808.0,4.0,80.27
1712,Chikka Tirupathi,3,3297.0,3.0,135.0
1713,Chikka Tirupathi,4,3500.0,5.0,150.0
1714,Chikka Tirupathi,3,2646.0,3.0,99.0
1715,Chikka Tirupathi,4,2704.0,5.0,105.0
1716,Chikka Tirupathi,3,2325.0,3.0,95.0
1717,Chikka Tirupathi,4,2325.0,4.0,120.0
1718,Chikka Tirupathi,4,3250.0,4.0,136.0
1719,Chikka Tirupathi,4,2665.0,5.0,125.0
1720,Chikkabanavar,2,950.0,2.0,40.0
1721,Chikkabanavar,3,1600.0,2.0,80.0
1722,Chikkabanavar,5,1200.0,4.0,70.0
1723,Chikkabanavar,2,600.0,1.0,25.0
1724,Chikkabanavar,4,2460.0,7.0,80.0
1725,Chikkabanavar,5,2400.0,4.0,97.0
1726,Chikkabanavar,5,2000.0,4.0,65.0
1727,Chikkabanavar,2,1067.0,2.0,38.0
1728,Chikkabanavar,3,1320.0,2.0,46.0
1729,Chikkabanavar,8,4000.0,7.0,110.0
1731,Chikkalasandra,2,1100.0,2.0,50.0
1732,Chikkalasandra,2,1208.0,2.0,49.0
1733,Chikkalasandra,2,875.0,2.0,52.8
1735,Chikkalasandra,2,1800.0,1.0,128.0
1736,Chikkalasandra,2,1070.0,2.0,50.0
1737,Chikkalasandra,2,1230.0,2.0,48.0
1738,Chikkalasandra,3,1428.0,2.0,80.0
1739,Chikkalasandra,2,1070.0,2.0,42.8
1743,Chikkalasandra,2,1075.0,2.0,46.76
1746,Chikkalasandra,2,1070.0,2.0,45.48
1747,Chikkalasandra,2,1100.0,2.0,50.0
1750,Chikkalasandra,2,1224.0,2.0,45.0
1751,Chikkalasandra,2,1090.0,2.0,47.42
1754,Chikkalasandra,2,1325.0,2.0,59.0
1755,Chikkalasandra,2,1290.0,2.0,72.0
1758,Choodasandra,2,1115.0,2.0,50.0
1759,Choodasandra,2,1300.0,2.0,57.0
1760,Choodasandra,3,1530.0,3.0,77.0
1763,Choodasandra,2,1197.0,2.0,63.0
1764,Choodasandra,3,1465.0,3.0,75.0
1765,Choodasandra,2,1115.0,2.0,50.0
1766,Choodasandra,2,1215.0,2.0,59.0
1767,Choodasandra,3,1254.0,2.0,65.0
1768,Choodasandra,3,1580.0,3.0,105.0
1769,Choodasandra,2,725.0,2.0,36.0
1770,Choodasandra,4,2429.0,3.0,210.0
1772,Choodasandra,2,1075.0,2.0,45.0
1773,Choodasandra,2,1180.0,2.0,71.22
1774,Choodasandra,2,1140.0,2.0,62.0
1776,Choodasandra,3,1560.0,3.0,78.0
1777,Choodasandra,2,1065.0,2.0,46.0
1778,Choodasandra,2,1115.0,2.0,50.0
1780,Choodasandra,2,1115.0,2.0,50.0
1781,Cooke Town,4,3950.0,4.0,450.0
1782,Cooke Town,3,2388.0,4.0,239.0
1783,Cooke Town,2,1710.0,2.0,200.0
1784,Cooke Town,2,1310.0,2.0,111.0
1785,Cooke Town,4,3900.0,5.0,415.0
1786,Cooke Town,3,2560.0,4.0,310.0
1787,Cooke Town,3,2600.0,3.0,375.0
1788,Cooke Town,2,1100.0,2.0,90.0
1789,Cooke Town,3,2300.0,3.0,250.0
1790,Cox Town,3,1975.0,3.0,150.0
1791,Cox Town,3,1650.0,3.0,100.0
1792,Cox Town,3,1730.0,3.0,140.0
1793,Cox Town,3,1600.0,3.0,150.0
1794,Cox Town,2,1250.0,2.0,95.0
1795,Cox Town,2,1280.0,2.0,120.0
1796,Cox Town,2,1073.0,2.0,72.0
1797,Cox Town,2,1000.0,2.0,58.0
1798,Cox Town,2,1200.0,2.0,140.0
1799,Cunningham Road,4,5270.0,4.0,1250.0
1800,Cunningham Road,3,3875.0,3.0,864.0
1801,Cunningham Road,3,3875.0,3.0,800.0
1802,Cunningham Road,3,3815.0,3.0,763.0
1803,Cunningham Road,3,2880.0,3.0,501.0
1804,Cunningham Road,3,3489.0,3.0,662.0
1805,Cunningham Road,3,4170.0,3.0,800.0
1807,Cunningham Road,3,2700.0,3.0,501.0
1808,Cunningham Road,4,7500.0,6.0,1800.0
1809,Cunningham Road,3,2880.0,3.0,560.0
1810,Dasanapura,2,708.0,2.0,37.0
1811,Dasanapura,2,708.0,1.0,40.0
1812,Dasanapura,2,965.0,2.0,42.5
1814,Dasanapura,2,1500.0,3.0,65.0
1815,Dasanapura,2,814.0,2.0,42.0
1816,Dasanapura,2,1163.0,2.0,65.0
1817,Dasanapura,3,1286.0,2.0,68.0
1818,Dasanapura,2,708.0,2.0,31.15
1819,Dasanapura,2,814.0,2.0,43.7
1820,Dasarahalli,2,1295.0,2.0,65.0
1822,Dasarahalli,2,1150.0,2.0,70.0
1823,Dasarahalli,3,2100.0,3.0,120.0
1824,Dasarahalli,2,1220.0,2.0,52.0
1825,Dasarahalli,2,1375.0,2.0,60.0
1826,Dasarahalli,2,1333.0,2.0,78.56
1827,Dasarahalli,2,1220.0,2.0,62.0
1828,Devanahalli,4,3210.0,3.0,192.0
1829,Devanahalli,2,1260.0,2.0,66.78
1830,Devanahalli,3,1282.0,2.0,68.52
1831,Devanahalli,2,1360.0,2.0,65.0
1833,Devanahalli,2,1408.0,2.0,85.0
1834,Devanahalli,2,1010.0,2.0,51.0
1835,Devanahalli,2,1080.0,2.0,53.35
1836,Devanahalli,5,2400.0,5.0,100.0
1839,Devanahalli,2,1174.0,2.0,59.0
1841,Devanahalli,1,658.0,1.0,34.0
1842,Devanahalli,1,658.0,1.0,26.91
1843,Devanahalli,1,698.5,1.0,28.57
1844,Devanahalli,2,1080.0,2.0,52.0
1845,Devanahalli,3,1700.0,3.0,88.2
1846,Devanahalli,3,1498.0,3.0,79.15
1847,Devanahalli,3,1466.0,3.0,77.59
1848,Devanahalli,1,775.0,1.0,39.0
1849,Devanahalli,1,1020.0,2.0,49.87
1851,Devanahalli,3,1550.0,3.0,85.0
1853,Devanahalli,2,1340.0,2.0,65.0
1857,Devanahalli,1,658.0,1.0,26.91
1859,Devanahalli,2,1010.0,2.0,58.0
1862,Devanahalli,1,1075.0,3.0,52.57
1864,Devarachikkanahalli,2,1250.0,2.0,40.0
1865,Devarachikkanahalli,2,1200.0,2.0,83.0
1866,Devarachikkanahalli,2,1170.0,2.0,40.0
1867,Devarachikkanahalli,1,615.0,1.0,24.0
1868,Devarachikkanahalli,2,1230.0,2.0,58.0
1869,Devarachikkanahalli,3,1425.0,2.0,65.0
1870,Devarachikkanahalli,2,947.0,2.0,43.0
1871,Devarachikkanahalli,2,1130.0,2.0,36.0
1872,Devarachikkanahalli,3,1417.0,2.0,76.0
1873,Devarachikkanahalli,2,1230.0,2.0,58.0
1874,Devarachikkanahalli,3,1705.0,3.0,75.0
1875,Devarachikkanahalli,2,1116.0,2.0,47.0
1876,Devarachikkanahalli,2,991.0,2.0,40.0
1878,Dodda Nekkundi,2,1260.0,2.0,55.0
1879,Dodda Nekkundi,2,850.0,2.0,28.0
1880,Dodda Nekkundi,2,1390.0,2.0,60.0
1881,Dodda Nekkundi,3,1804.0,3.0,121.0
1882,Dodda Nekkundi,2,1080.0,2.0,50.0
1883,Dodda Nekkundi,3,1999.0,3.0,132.0
1884,Dodda Nekkundi,2,1100.0,2.0,48.0
1885,Dodda Nekkundi,3,1999.0,3.0,135.0
1886,Dodda Nekkundi,2,1100.0,2.0,41.15
1887,Dodda Nekkundi,3,1252.0,2.0,71.0
1888,Dodda Nekkundi,2,1155.0,2.0,46.0
1889,Dodda Nekkundi,2,1128.0,2.0,45.0
1890,Dodda Nekkundi,2,1148.0,2.0,56.0
1892,Dodda Nekkundi,2,1145.0,2.0,46.5
1893,Dodda Nekkundi,3,1829.0,3.0,125.0
1894,Dodda Nekkundi,2,1100.0,2.0,41.16
1895,Dodda Nekkundi,2,1100.0,2.0,46.75
1896,Dodda Nekkundi,2,1315.0,2.0,50.0
1897,Dodda Nekkundi,2,1135.0,2.0,58.0
1898,Dodda Nekkundi,2,1100.0,2.0,41.18
1899,Dodda Nekkundi,2,1370.0,2.0,60.0
1900,Dodda Nekkundi,2,1200.0,2.0,71.0
1901,Dodda Nekkundi,3,1585.0,2.0,79.0
1902,Dodda Nekkundi,2,1005.0,2.0,45.0
1903,Dodda Nekkundi,2,1264.0,2.0,52.0
1904,Doddaballapur,4,1690.0,3.0,80.0
1905,Doddaballapur,4,4200.0,4.0,325.0
1906,Doddaballapur,3,3876.0,3.0,300.0
1907,Doddaballapur,3,2776.0,4.0,195.0
1908,Doddaballapur,3,2440.0,3.0,142.0
1909,Doddaballapur,4,2400.0,3.0,200.0
1910,Doddaballapur,1,654.0,1.0,49.0
1911,Doddaballapur,4,3206.0,5.0,270.0
1912,Doddakallasandra,2,1010.0,2.0,40.39
1917,Doddakallasandra,2,1010.0,2.0,40.39
1918,Doddakallasandra,2,1072.0,2.0,42.87
1919,Doddakallasandra,2,1010.0,2.0,40.4
1920,Doddakallasandra,2,1010.0,2.0,41.0
1921,Doddakallasandra,2,1072.0,2.0,42.87
1922,Doddathoguru,2,970.0,2.0,33.0
1923,Doddathoguru,2,1050.0,2.0,32.0
1924,Doddathoguru,2,850.0,2.0,25.0
1925,Doddathoguru,2,1030.0,2.0,42.0
1926,Doddathoguru,3,1549.0,3.0,65.0
1928,Doddathoguru,1,550.0,1.0,17.0
1929,Doddathoguru,2,1015.0,2.0,33.5
1930,Doddathoguru,2,1104.0,2.0,39.0
1931,Doddathoguru,2,915.0,2.0,32.0
1932,Doddathoguru,1,750.0,1.0,25.5
1933,Doddathoguru,3,1595.0,3.0,62.0
1934,Doddathoguru,2,855.0,2.0,32.0
1935,Doddathoguru,2,1105.0,2.0,50.0
1936,Doddathoguru,2,925.0,2.0,30.0
1938,Doddathoguru,3,1208.0,3.0,45.0
1939,Doddathoguru,2,1100.0,2.0,50.0
1940,Doddathoguru,2,940.0,2.0,32.9
1941,Doddathoguru,3,1382.0,3.0,65.0
1942,Doddathoguru,2,1107.0,2.0,44.0
1943,Doddathoguru,2,907.0,2.0,40.0
1944,Doddathoguru,3,1783.0,3.0,85.0
1945,Doddathoguru,1,550.0,1.0,17.0
1946,Domlur,3,1540.0,3.0,90.0
1947,Domlur,3,1875.0,2.0,150.0
1948,Domlur,3,1429.0,3.0,86.0
1949,Domlur,1,640.0,1.0,55.0
1950,Domlur,2,1050.0,2.0,85.0
1951,Domlur,3,1800.0,3.0,150.0
1952,Domlur,3,1720.0,3.0,135.0
1953,Domlur,3,1950.0,3.0,165.0
1954,Domlur,3,2180.0,3.0,285.0
1955,Domlur,1,650.0,1.0,70.0
1956,Domlur,1,780.0,1.0,70.0
1957,Domlur,3,2180.0,3.0,285.0
1958,Domlur,3,1740.0,3.0,120.0
1959,Domlur,3,1695.0,3.0,125.0
1960,Domlur,2,1246.0,2.0,95.0
1961,Domlur,3,2100.0,3.0,145.0
1962,Domlur,2,1276.0,2.0,80.0
1963,Domlur,3,1850.0,3.0,180.0
1964,Domlur,3,2955.0,3.0,235.0
1965,Domlur,3,1650.0,3.0,180.0
1966,Dommasandra,2,805.0,2.0,22.14
1968,Dommasandra,3,1267.0,3.0,56.0
1969,Dommasandra,2,1200.0,2.0,50.0
1970,Dommasandra,4,2700.0,3.0,68.0
1972,Dommasandra,2,1153.0,2.0,43.5
1973,Dommasandra,2,1500.0,2.0,40.0
1974,Dommasandra,2,1090.0,2.0,43.5
1975,Dommasandra,2,850.0,2.0,25.4
1976,Dommasandra,2,674.0,1.0,19.9
1977,Dommasandra,2,999.0,2.0,32.9
1978,EPIP Zone,3,1499.0,5.0,102.0
1979,EPIP Zone,2,1285.0,2.0,82.0
1980,EPIP Zone,3,2330.0,3.0,162.0
1981,EPIP Zone,2,1330.0,2.0,92.5
1982,EPIP Zone,2,1330.0,2.0,86.98
1983,EPIP Zone,2,1330.0,2.0,93.36
1985,EPIP Zone,3,1500.0,3.0,102.0
1986,EPIP Zone,2,1280.0,2.0,69.0
1987,EPIP Zone,2,1125.0,2.0,65.0
1988,EPIP Zone,3,1734.0,3.0,125.0
1990,EPIP Zone,2,1343.0,2.0,86.0
1991,EPIP Zone,3,2350.0,4.0,163.0
1992,EPIP Zone,3,1860.0,3.0,130.0
1993,EPIP Zone,3,2210.0,3.0,165.0
1994,EPIP Zone,3,2710.0,3.0,177.0
2001,Electronic City,2,1060.0,2.0,60.0
2002,Electronic City,2,1152.0,2.0,64.5
2004,Electronic City,2,770.0,1.0,36.0
2005,Electronic City,2,1070.0,2.0,52.0
2006,Electronic City,2,1025.0,2.0,46.0
2007,Electronic City,1,589.0,1.0,27.0
2009,Electronic City,2,910.0,2.0,40.0
2010,Electronic City,2,1108.0,2.0,63.0
2011,Electronic City,2,1128.0,2.0,65.0
2012,Electronic City,3,1800.0,3.0,95.0
2013,Electronic City,1,630.0,1.0,34.65
2014,Electronic City,2,1128.0,2.0,63.0
2015,Electronic City,3,1599.0,3.0,99.0
2018,Electronic City,2,1070.0,2.0,55.0
2019,Electronic City,2,940.0,2.0,41.0
2021,Electronic City,2,1128.0,2.0,68.75
2022,Electronic City,2,1342.0,2.0,73.3
2025,Electronic City,2,1265.0,2.0,56.93
2026,Electronic City,3,1691.0,2.0,102.0
2027,Electronic City,2,1128.0,2.0,65.49
2031,Electronic City,2,1070.0,2.0,56.1
2032,Electronic City,4,2000.0,4.0,120.0
2033,Electronic City,2,890.0,2.0,45.0
2034,Electronic City,2,1128.0,2.0,65.65
2035,Electronic City,2,865.0,2.0,42.0
2037,Electronic City,2,910.0,2.0,42.0
2039,Electronic City,3,1360.0,2.0,75.0
2040,Electronic City,2,770.0,1.0,40.0
2041,Electronic City,2,1128.0,2.0,64.0
2042,Electronic City,2,1070.0,2.0,54.0
2045,Electronic City,3,1571.0,3.0,89.0
2047,Electronic City,2,870.0,2.0,39.5
2051,Electronic City,2,1128.0,2.0,65.35
2052,Electronic City,2,1128.0,2.0,65.0
2053,Electronic City,2,755.0,1.0,34.0
2057,Electronic City,3,1563.0,3.0,91.84
2060,Electronic City,2,1025.0,2.0,54.5
2067,Electronic City,2,1128.0,2.0,68.0
2068,Electronic City,1,700.0,1.0,35.0
2071,Electronic City,3,1571.0,3.0,105.0
2075,Electronic City,3,1600.0,3.0,104.0
2078,Electronic City,3,1500.0,2.0,100.0
2082,Electronic City,2,1152.0,2.0,65.0
2083,Electronic City,2,1070.0,2.0,60.0
2084,Electronic City,2,1128.0,2.0,65.5
2085,Electronic City,2,1200.0,2.0,59.0
2086,Electronic City,2,1152.0,2.0,65.75
2088,Electronic City,2,1070.0,2.0,55.0
2089,Electronic City,2,1060.0,2.0,58.0
2090,Electronic City,2,1025.0,2.0,54.1
2096,Electronic City,2,1213.0,2.0,59.32
2097,Electronic City,3,1575.0,3.0,90.0
2098,Electronic City,1,435.0,1.0,19.5
2099,Electronic City,3,1449.0,3.0,100.0
2101,Electronic City,2,1125.0,2.0,58.0
2103,Electronic City,3,1575.0,3.0,101.0
2105,Electronic City,1,550.0,1.0,12.0
2106,Electronic City,2,919.0,2.0,40.0
2108,Electronic City,2,1363.0,2.0,79.0
2111,Electronic City,2,1108.0,2.0,67.15
2113,Electronic City,2,1128.0,2.0,65.7
2115,Electronic City,2,1060.0,2.0,51.0
2117,Electronic City,3,1650.0,3.0,100.0
2119,Electronic City,2,1025.0,2.0,49.0
2121,Electronic City,3,1449.0,3.0,90.0
2123,Electronic City,2,1070.0,2.0,58.0
2124,Electronic City,2,1210.0,2.0,54.0
2127,Electronic City,2,1070.0,2.0,52.0
2133,Electronic City,2,1073.0,2.0,60.0
2135,Electronic City,2,1070.0,2.0,47.0
2136,Electronic City,2,1296.0,2.0,65.0
2137,Electronic City,2,1140.0,2.0,70.93
2144,Electronic City,2,1025.0,2.0,53.9
2145,Electronic City,2,940.0,2.0,54.0
2146,Electronic City,1,435.0,1.0,21.0
2149,Electronic City,2,1355.0,2.0,67.0
2152,Electronic City,1,435.0,1.0,22.0
2154,Electronic City,2,1039.0,2.0,50.0
2155,Electronic City,2,770.0,1.0,39.9
2158,Electronic City,2,1128.0,2.0,64.0
2159,Electronic City,1,605.0,1.0,13.31
2161,Electronic City,1,530.0,1.0,13.5
2162,Electronic City,2,1070.0,2.0,53.0
2165,Electronic City,3,1571.0,3.0,83.0
2168,Electronic City,3,1652.0,3.0,110.0
2172,Electronic City,2,1128.0,2.0,65.58
2173,Electronic City,1,635.0,1.0,28.0
2174,Electronic City,2,1128.0,2.0,65.4
2177,Electronic City,2,1355.0,2.0,72.9
2181,Electronic City,2,770.0,1.0,35.0
2183,Electronic City,2,865.0,2.0,40.0
2186,Electronic City,2,1108.0,2.0,63.0
2187,Electronic City,1,630.0,1.0,40.5
2190,Electronic City,1,605.0,1.0,22.0
2192,Electronic City,2,1070.0,2.0,48.0
2195,Electronic City,1,635.0,1.0,28.0
2196,Electronic City,2,1128.0,2.0,65.45
2197,Electronic City,2,890.0,2.0,40.0
2205,Electronic City,1,630.0,1.0,33.7
2209,Electronic City,3,1400.0,3.0,90.0
2211,Electronic City,2,1258.0,2.0,85.5
2212,Electronic City,2,1386.0,2.0,85.0
2213,Electronic City,1,550.0,1.0,27.0
2214,Electronic City,2,1025.0,2.0,50.0
2216,Electronic City,2,1070.0,2.0,55.0
2217,Electronic City,2,1342.0,2.0,72.0
2218,Electronic City,3,1275.0,3.0,70.0
2219,Electronic City,2,770.0,1.0,38.0
2224,Electronic City,3,1644.0,3.0,92.59
2225,Electronic City,2,1250.0,2.0,62.0
2228,Electronic City,1,418.0,1.0,12.0
2229,Electronic City,2,1128.0,2.0,64.8
2232,Electronic City,2,1060.0,2.0,55.0
2233,Electronic City,1,710.0,1.0,40.42
2238,Electronic City,1,1090.0,2.0,31.48
2241,Electronic City,2,1060.0,2.0,55.0
2243,Electronic City,2,1353.0,2.0,75.0
2245,Electronic City,2,1128.0,2.0,67.0
2246,Electronic City,2,1070.0,2.0,57.0
2247,Electronic City,3,1700.0,3.0,90.0
2249,Electronic City,1,750.0,1.0,35.0
2250,Electronic City,2,1210.0,2.0,55.0
2251,Electronic City,2,1070.0,2.0,60.0
2257,Electronic City,3,1615.0,3.0,97.0
2259,Electronic City,2,1221.0,2.0,68.0
2262,Electronic City,2,995.0,2.0,48.0
2263,Electronic City,2,1342.0,2.0,90.0
2266,Electronic City,2,1128.0,2.0,63.5
2267,Electronic City,1,589.0,1.0,29.0
2270,Electronic City,3,1575.0,3.0,94.5
2271,Electronic City,2,1070.0,2.0,48.0
2272,Electronic City,2,1025.0,2.0,54.0
2276,Electronic City,4,2093.0,4.0,134.0
2278,Electronic City,2,1355.0,2.0,73.0
2280,Electronic City,2,1060.0,2.0,52.0
2281,Electronic City Phase II,2,1056.0,2.0,39.07
2282,Electronic City Phase II,2,1020.0,2.0,30.6
2283,Electronic City Phase II,2,1069.0,2.0,45.0
2284,Electronic City Phase II,1,630.0,1.0,28.35
2286,Electronic City Phase II,2,1000.0,2.0,25.0
2287,Electronic City Phase II,2,1090.0,2.0,28.34
2290,Electronic City Phase II,2,775.0,2.0,38.0
2291,Electronic City Phase II,2,1266.0,2.0,59.0
2292,Electronic City Phase II,2,1000.0,2.0,28.88
2295,Electronic City Phase II,2,972.0,2.0,44.0
2297,Electronic City Phase II,2,1031.0,2.0,55.0
2298,Electronic City Phase II,2,1003.0,2.0,40.6
2299,Electronic City Phase II,2,545.0,1.0,27.0
2300,Electronic City Phase II,2,1031.0,2.0,56.35
2302,Electronic City Phase II,3,1395.0,2.0,62.78
2303,Electronic City Phase II,2,1160.0,2.0,33.5
2304,Electronic City Phase II,2,1065.0,2.0,30.75
2305,Electronic City Phase II,2,1219.0,2.0,61.25
2307,Electronic City Phase II,2,1000.0,2.0,28.88
2308,Electronic City Phase II,3,1790.0,3.0,100.0
2309,Electronic City Phase II,2,769.0,2.0,40.0
2311,Electronic City Phase II,2,900.0,2.0,32.5
2314,Electronic City Phase II,3,993.0,2.0,50.0
2315,Electronic City Phase II,3,1418.0,3.0,52.47
2316,Electronic City Phase II,2,1070.0,2.0,45.0
2319,Electronic City Phase II,2,1140.0,2.0,33.06
2320,Electronic City Phase II,2,1089.0,2.0,32.67
2321,Electronic City Phase II,2,1031.0,2.0,55.0
2322,Electronic City Phase II,2,1253.0,2.0,65.8
2324,Electronic City Phase II,2,1160.0,2.0,33.5
2325,Electronic City Phase II,3,975.0,2.0,45.0
2327,Electronic City Phase II,2,1116.0,2.0,37.0
2328,Electronic City Phase II,2,1125.0,2.0,29.25
2329,Electronic City Phase II,2,1000.0,2.0,28.88
2330,Electronic City Phase II,2,1000.0,2.0,28.88
2331,Electronic City Phase II,2,1000.0,2.0,28.88
2332,Electronic City Phase II,2,1165.0,2.0,30.29
2334,Electronic City Phase II,2,1031.0,2.0,53.0
2336,Electronic City Phase II,2,1065.0,2.0,30.88
2338,Electronic City Phase II,3,1549.0,3.0,80.0
2339,Electronic City Phase II,2,1065.0,2.0,56.13
2341,Electronic City Phase II,2,920.0,2.0,26.0
2342,Electronic City Phase II,2,1140.0,2.0,33.84
2343,Electronic City Phase II,2,1219.0,2.0,61.26
2344,Electronic City Phase II,3,1252.0,2.0,65.0
2345,Electronic City Phase II,3,875.0,2.0,40.0
2346,Electronic City Phase II,2,1125.0,2.0,32.49
2348,Electronic City Phase II,2,1286.0,2.0,69.0
2350,Electronic City Phase II,2,1140.0,2.0,32.92
2351,Electronic City Phase II,2,1116.0,2.0,40.0
2352,Electronic City Phase II,3,1150.0,3.0,46.0
2353,Electronic City Phase II,3,1192.0,2.0,47.0
2355,Electronic City Phase II,2,1020.0,2.0,32.0
2356,Electronic City Phase II,4,1900.0,3.0,97.0
2357,Electronic City Phase II,2,1020.0,2.0,27.43
2358,Electronic City Phase II,2,1025.0,2.0,26.65
2359,Electronic City Phase II,2,545.0,1.0,29.0
2360,Electronic City Phase II,2,1020.0,2.0,29.45
2361,Electronic City Phase II,2,1000.0,2.0,28.88
2363,Electronic City Phase II,2,1140.0,2.0,28.5
2364,Electronic City Phase II,2,1125.0,2.0,32.49
2365,Electronic City Phase II,2,1200.0,2.0,34.65
2366,Electronic City Phase II,2,1160.0,2.0,52.2
2367,Electronic City Phase II,2,1244.0,2.0,55.0
2368,Electronic City Phase II,2,1160.0,2.0,33.51
2371,Electronic City Phase II,2,972.0,2.0,40.0
2372,Electronic City Phase II,2,1160.0,2.0,33.51
2374,Electronic City Phase II,2,1090.0,2.0,31.48
2375,Electronic City Phase II,2,1140.0,2.0,32.92
2376,Electronic City Phase II,1,650.0,1.0,35.0
2377,Electronic City Phase II,2,1155.0,2.0,57.0
2378,Electronic City Phase II,3,1800.0,3.0,92.0
2379,Electronic City Phase II,2,1300.0,2.0,28.0
2380,Electronic City Phase II,3,1940.0,4.0,116.0
2381,Electronic City Phase II,2,1160.0,2.0,33.5
2382,Electronic City Phase II,2,1025.0,2.0,29.6
2383,Electronic City Phase II,2,829.0,2.0,22.8
2384,Electronic City Phase II,4,2187.5,4.0,105.0
2385,Electronic City Phase II,2,1252.0,2.0,67.0
2387,Electronic City Phase II,2,1125.0,2.0,32.63
2388,Electronic City Phase II,2,1140.0,2.0,34.0
2391,Electronic City Phase II,3,1252.0,2.0,65.0
2392,Electronic City Phase II,2,1135.0,2.0,46.0
2393,Electronic City Phase II,3,1305.0,3.0,65.0
2394,Electronic City Phase II,2,1165.0,2.0,33.64
2396,Electronic City Phase II,3,1336.0,2.0,50.35
2397,Electronic City Phase II,1,575.0,1.0,16.75
2398,Electronic City Phase II,3,925.0,2.0,49.82
2399,Electronic City Phase II,2,1065.0,2.0,30.76
2400,Electronic City Phase II,2,1065.0,2.0,30.75
2401,Electronic City Phase II,2,1140.0,2.0,33.06
2402,Electronic City Phase II,2,911.0,2.0,26.5
2403,Electronic City Phase II,2,1200.0,2.0,34.65
2404,Electronic City Phase II,2,1031.0,2.0,54.48
2405,Electronic City Phase II,2,545.0,1.0,28.0
2409,Electronics City Phase 1,3,1475.0,3.0,78.29
2410,Electronics City Phase 1,3,1490.0,3.0,78.8
2411,Electronics City Phase 1,2,1113.27,2.0,53.0
2412,Electronics City Phase 1,3,1490.0,3.0,84.0
2414,Electronics City Phase 1,2,1160.0,2.0,52.0
2419,Electronics City Phase 1,2,1015.0,2.0,56.0
2421,Electronics City Phase 1,3,1515.0,2.0,80.91
2422,Electronics City Phase 1,2,995.0,2.0,46.0
2423,Electronics City Phase 1,3,1555.0,2.0,82.0
2424,Electronics City Phase 1,2,1340.0,2.0,75.0
2425,Electronics City Phase 1,1,650.0,1.0,23.0
2427,Electronics City Phase 1,2,1175.0,2.0,57.0
2428,Electronics City Phase 1,1,755.0,1.0,42.41
2429,Electronics City Phase 1,1,580.0,1.0,27.0
2430,Electronics City Phase 1,2,940.0,2.0,49.0
2431,Electronics City Phase 1,2,1335.0,2.0,67.0
2432,Electronics City Phase 1,2,1175.0,2.0,69.0
2433,Electronics City Phase 1,2,1113.12,2.0,55.0
2435,Electronics City Phase 1,3,1350.0,3.0,71.0
2437,Electronics City Phase 1,2,995.0,2.0,49.8
2438,Electronics City Phase 1,1,635.0,1.0,26.0
2439,Electronics City Phase 1,2,1190.0,2.0,68.0
2442,Electronics City Phase 1,1,360.0,1.0,16.9
2443,Electronics City Phase 1,1,638.0,1.0,32.0
2444,Electronics City Phase 1,2,1175.0,2.0,64.98
2445,Electronics City Phase 1,1,585.0,1.0,21.0
2446,Electronics City Phase 1,2,1200.0,2.0,59.76
2447,Electronics City Phase 1,2,1145.0,2.0,54.0
2448,Electronics City Phase 1,2,1125.0,2.0,65.0
2450,Electronics City Phase 1,3,1550.0,2.0,82.0
2452,Electronics City Phase 1,2,865.0,2.0,40.0
2456,Electronics City Phase 1,3,1800.0,3.0,93.0
2457,Electronics City Phase 1,2,1314.0,2.0,60.0
2458,Electronics City Phase 1,2,1170.0,2.0,62.0
2459,Electronics City Phase 1,3,1450.0,3.0,79.0
2460,Electronics City Phase 1,2,940.0,2.0,48.0
2461,Electronics City Phase 1,2,940.0,2.0,44.0
2462,Electronics City Phase 1,2,1300.0,2.0,67.0
2463,Electronics City Phase 1,2,1028.0,2.0,51.0
2465,Electronics City Phase 1,2,1205.0,2.0,60.0
2467,Electronics City Phase 1,2,1305.0,2.0,67.0
2468,Electronics City Phase 1,1,755.0,1.0,30.12
2469,Electronics City Phase 1,2,1175.0,2.0,60.0
2470,Frazer Town,3,1700.0,3.0,180.0
2471,Frazer Town,3,1305.0,3.0,95.45
